id,acidity,aroma,body,flavor,aftertaste,balance,quality
1424,5.8,6.0,5.9,6.1,6.0,5.7,0
1084,5.8,6.0,5.9,6.1,6.0,5.7,0
1436,6.2,6.4,6.3,6.5,6.2,6.1,0
112,6.0,6.5,6.2,6.0,6.1,6.3,0
1296,6.2,6.4,6.3,6.5,6.2,6.1,0
799,7.9,8.1,7.8,8.3,8.0,8.2,1
1143,8.2,8.5,8.0,8.7,8.4,8.6,1
1129,7.9,8.1,7.8,8.3,8.0,8.2,1
1285,7.0,7.2,7.1,7.4,7.3,7.0,1
1382,6.0,6.5,6.2,6.0,6.1,6.3,0
311,7.5,8.0,7.0,8.2,7.8,8.0,1
606,6.2,6.4,6.3,6.5,6.2,6.1,0
747,8.8,9.0,8.6,9.1,8.9,9.0,1
567,8.8,9.0,8.6,9.1,8.9,9.0,1
439,7.9,8.1,7.8,8.3,8.0,8.2,1
1141,7.5,8.0,7.0,8.2,7.8,8.0,1
343,8.2,8.5,8.0,8.7,8.4,8.6,1
1111,7.5,8.0,7.0,8.2,7.8,8.0,1
1508,5.5,5.8,5.6,5.9,5.7,5.6,0
1041,7.5,8.0,7.0,8.2,7.8,8.0,1
1056,6.2,6.4,6.3,6.5,6.2,6.1,0
351,7.5,8.0,7.0,8.2,7.8,8.0,1
934,5.8,6.0,5.9,6.1,6.0,5.7,0
1262,6.0,6.5,6.2,6.0,6.1,6.3,0
753,8.2,8.5,8.0,8.7,8.4,8.6,1
1388,5.5,5.8,5.6,5.9,5.7,5.6,0
553,8.2,8.5,8.0,8.7,8.4,8.6,1
999,7.9,8.1,7.8,8.3,8.0,8.2,1
1331,7.5,8.0,7.0,8.2,7.8,8.0,1
775,7.0,7.2,7.1,7.4,7.3,7.0,1
454,5.8,6.0,5.9,6.1,6.0,5.7,0
255,7.0,7.2,7.1,7.4,7.3,7.0,1
323,8.2,8.5,8.0,8.7,8.4,8.6,1
1109,7.9,8.1,7.8,8.3,8.0,8.2,1
421,7.5,8.0,7.0,8.2,7.8,8.0,1
1322,6.0,6.5,6.2,6.0,6.1,6.3,0
1340,6.1,6.3,6.0,6.4,6.2,6.1,0
1361,7.5,8.0,7.0,8.2,7.8,8.0,1
945,7.0,7.2,7.1,7.4,7.3,7.0,1
614,5.8,6.0,5.9,6.1,6.0,5.7,0
87,8.8,9.0,8.6,9.1,8.9,9.0,1
1441,7.5,8.0,7.0,8.2,7.8,8.0,1
266,6.2,6.4,6.3,6.5,6.2,6.1,0
288,5.5,5.8,5.6,5.9,5.7,5.6,0
1504,5.8,6.0,5.9,6.1,6.0,5.7,0
429,7.9,8.1,7.8,8.3,8.0,8.2,1
1145,7.0,7.2,7.1,7.4,7.3,7.0,1
545,7.0,7.2,7.1,7.4,7.3,7.0,1
430,6.1,6.3,6.0,6.4,6.2,6.1,0
1233,8.2,8.5,8.0,8.7,8.4,8.6,1
222,6.0,6.5,6.2,6.0,6.1,6.3,0
114,5.8,6.0,5.9,6.1,6.0,5.7,0
585,7.0,7.2,7.1,7.4,7.3,7.0,1
1033,8.2,8.5,8.0,8.7,8.4,8.6,1
175,7.0,7.2,7.1,7.4,7.3,7.0,1
848,5.5,5.8,5.6,5.9,5.7,5.6,0
375,7.0,7.2,7.1,7.4,7.3,7.0,1
1192,6.0,6.5,6.2,6.0,6.1,6.3,0
19,7.9,8.1,7.8,8.3,8.0,8.2,1
1157,8.8,9.0,8.6,9.1,8.9,9.0,1
286,6.2,6.4,6.3,6.5,6.2,6.1,0
887,8.8,9.0,8.6,9.1,8.9,9.0,1
644,5.8,6.0,5.9,6.1,6.0,5.7,0
1213,8.2,8.5,8.0,8.7,8.4,8.6,1
32,6.0,6.5,6.2,6.0,6.1,6.3,0
1019,7.9,8.1,7.8,8.3,8.0,8.2,1
211,7.5,8.0,7.0,8.2,7.8,8.0,1
990,6.1,6.3,6.0,6.4,6.2,6.1,0
603,8.2,8.5,8.0,8.7,8.4,8.6,1
1174,5.8,6.0,5.9,6.1,6.0,5.7,0
440,6.1,6.3,6.0,6.4,6.2,6.1,0
953,8.2,8.5,8.0,8.7,8.4,8.6,1
1469,7.9,8.1,7.8,8.3,8.0,8.2,1
479,7.9,8.1,7.8,8.3,8.0,8.2,1
189,7.9,8.1,7.8,8.3,8.0,8.2,1
527,8.8,9.0,8.6,9.1,8.9,9.0,1
1507,8.8,9.0,8.6,9.1,8.9,9.0,1
1358,5.5,5.8,5.6,5.9,5.7,5.6,0
483,8.2,8.5,8.0,8.7,8.4,8.6,1
395,7.0,7.2,7.1,7.4,7.3,7.0,1
922,6.0,6.5,6.2,6.0,6.1,6.3,0
84,5.8,6.0,5.9,6.1,6.0,5.7,0
1480,6.1,6.3,6.0,6.4,6.2,6.1,0
49,7.9,8.1,7.8,8.3,8.0,8.2,1
1445,7.0,7.2,7.1,7.4,7.3,7.0,1
156,6.2,6.4,6.3,6.5,6.2,6.1,0
1280,6.1,6.3,6.0,6.4,6.2,6.1,0
1156,6.2,6.4,6.3,6.5,6.2,6.1,0
417,8.8,9.0,8.6,9.1,8.9,9.0,1
1069,7.9,8.1,7.8,8.3,8.0,8.2,1
1053,8.2,8.5,8.0,8.7,8.4,8.6,1
1247,8.8,9.0,8.6,9.1,8.9,9.0,1
1501,7.5,8.0,7.0,8.2,7.8,8.0,1
530,6.1,6.3,6.0,6.4,6.2,6.1,0
180,6.1,6.3,6.0,6.4,6.2,6.1,0
1503,8.2,8.5,8.0,8.7,8.4,8.6,1
1374,5.8,6.0,5.9,6.1,6.0,5.7,0
433,8.2,8.5,8.0,8.7,8.4,8.6,1
528,5.5,5.8,5.6,5.9,5.7,5.6,0
835,7.0,7.2,7.1,7.4,7.3,7.0,1
364,5.8,6.0,5.9,6.1,6.0,5.7,0
1193,8.2,8.5,8.0,8.7,8.4,8.6,1
1215,7.0,7.2,7.1,7.4,7.3,7.0,1
347,8.8,9.0,8.6,9.1,8.9,9.0,1
465,7.0,7.2,7.1,7.4,7.3,7.0,1
529,7.9,8.1,7.8,8.3,8.0,8.2,1
673,8.2,8.5,8.0,8.7,8.4,8.6,1
1168,5.5,5.8,5.6,5.9,5.7,5.6,0
602,6.0,6.5,6.2,6.0,6.1,6.3,0
1112,6.0,6.5,6.2,6.0,6.1,6.3,0
