id,acidity,aroma,body,flavor,aftertaste,balance,quality
1,7.5,8.0,7.0,8.2,7.8,8.0,1
2,6.0,6.5,6.2,6.0,6.1,6.3,0
3,8.2,8.5,8.0,8.7,8.4,8.6,1
4,5.8,6.0,5.9,6.1,6.0,5.7,0
5,7.0,7.2,7.1,7.4,7.3,7.0,1
6,6.2,6.4,6.3,6.5,6.2,6.1,0
7,8.8,9.0,8.6,9.1,8.9,9.0,1
8,5.5,5.8,5.6,5.9,5.7,5.6,0
9,7.9,8.1,7.8,8.3,8.0,8.2,1
10,6.1,6.3,6.0,6.4,6.2,6.1,0
11,7.5,8.0,7.0,8.2,7.8,8.0,1
12,6.0,6.5,6.2,6.0,6.1,6.3,0
13,8.2,8.5,8.0,8.7,8.4,8.6,1
14,5.8,6.0,5.9,6.1,6.0,5.7,0
15,7.0,7.2,7.1,7.4,7.3,7.0,1
16,6.2,6.4,6.3,6.5,6.2,6.1,0
17,8.8,9.0,8.6,9.1,8.9,9.0,1
18,5.5,5.8,5.6,5.9,5.7,5.6,0
19,7.9,8.1,7.8,8.3,8.0,8.2,1
20,6.1,6.3,6.0,6.4,6.2,6.1,0
21,7.5,8.0,7.0,8.2,7.8,8.0,1
22,6.0,6.5,6.2,6.0,6.1,6.3,0
23,8.2,8.5,8.0,8.7,8.4,8.6,1
24,5.8,6.0,5.9,6.1,6.0,5.7,0
25,7.0,7.2,7.1,7.4,7.3,7.0,1
26,6.2,6.4,6.3,6.5,6.2,6.1,0
27,8.8,9.0,8.6,9.1,8.9,9.0,1
28,5.5,5.8,5.6,5.9,5.7,5.6,0
29,7.9,8.1,7.8,8.3,8.0,8.2,1
30,6.1,6.3,6.0,6.4,6.2,6.1,0
31,7.5,8.0,7.0,8.2,7.8,8.0,1
32,6.0,6.5,6.2,6.0,6.1,6.3,0
33,8.2,8.5,8.0,8.7,8.4,8.6,1
34,5.8,6.0,5.9,6.1,6.0,5.7,0
35,7.0,7.2,7.1,7.4,7.3,7.0,1
36,6.2,6.4,6.3,6.5,6.2,6.1,0
37,8.8,9.0,8.6,9.1,8.9,9.0,1
38,5.5,5.8,5.6,5.9,5.7,5.6,0
39,7.9,8.1,7.8,8.3,8.0,8.2,1
40,6.1,6.3,6.0,6.4,6.2,6.1,0
41,7.5,8.0,7.0,8.2,7.8,8.0,1
42,6.0,6.5,6.2,6.0,6.1,6.3,0
43,8.2,8.5,8.0,8.7,8.4,8.6,1
44,5.8,6.0,5.9,6.1,6.0,5.7,0
45,7.0,7.2,7.1,7.4,7.3,7.0,1
46,6.2,6.4,6.3,6.5,6.2,6.1,0
47,8.8,9.0,8.6,9.1,8.9,9.0,1
48,5.5,5.8,5.6,5.9,5.7,5.6,0
49,7.9,8.1,7.8,8.3,8.0,8.2,1
50,6.1,6.3,6.0,6.4,6.2,6.1,0
51,7.5,8.0,7.0,8.2,7.8,8.0,1
52,6.0,6.5,6.2,6.0,6.1,6.3,0
53,8.2,8.5,8.0,8.7,8.4,8.6,1
54,5.8,6.0,5.9,6.1,6.0,5.7,0
55,7.0,7.2,7.1,7.4,7.3,7.0,1
56,6.2,6.4,6.3,6.5,6.2,6.1,0
57,8.8,9.0,8.6,9.1,8.9,9.0,1
58,5.5,5.8,5.6,5.9,5.7,5.6,0
59,7.9,8.1,7.8,8.3,8.0,8.2,1
60,6.1,6.3,6.0,6.4,6.2,6.1,0
61,7.5,8.0,7.0,8.2,7.8,8.0,1
62,6.0,6.5,6.2,6.0,6.1,6.3,0
63,8.2,8.5,8.0,8.7,8.4,8.6,1
64,5.8,6.0,5.9,6.1,6.0,5.7,0
65,7.0,7.2,7.1,7.4,7.3,7.0,1
66,6.2,6.4,6.3,6.5,6.2,6.1,0
67,8.8,9.0,8.6,9.1,8.9,9.0,1
68,5.5,5.8,5.6,5.9,5.7,5.6,0
69,7.9,8.1,7.8,8.3,8.0,8.2,1
70,6.1,6.3,6.0,6.4,6.2,6.1,0
71,7.5,8.0,7.0,8.2,7.8,8.0,1
72,6.0,6.5,6.2,6.0,6.1,6.3,0
73,8.2,8.5,8.0,8.7,8.4,8.6,1
74,5.8,6.0,5.9,6.1,6.0,5.7,0
75,7.0,7.2,7.1,7.4,7.3,7.0,1
76,6.2,6.4,6.3,6.5,6.2,6.1,0
77,8.8,9.0,8.6,9.1,8.9,9.0,1
78,5.5,5.8,5.6,5.9,5.7,5.6,0
79,7.9,8.1,7.8,8.3,8.0,8.2,1
80,6.1,6.3,6.0,6.4,6.2,6.1,0
81,7.5,8.0,7.0,8.2,7.8,8.0,1
82,6.0,6.5,6.2,6.0,6.1,6.3,0
83,8.2,8.5,8.0,8.7,8.4,8.6,1
84,5.8,6.0,5.9,6.1,6.0,5.7,0
85,7.0,7.2,7.1,7.4,7.3,7.0,1
86,6.2,6.4,6.3,6.5,6.2,6.1,0
87,8.8,9.0,8.6,9.1,8.9,9.0,1
88,5.5,5.8,5.6,5.9,5.7,5.6,0
89,7.9,8.1,7.8,8.3,8.0,8.2,1
90,6.1,6.3,6.0,6.4,6.2,6.1,0
91,7.5,8.0,7.0,8.2,7.8,8.0,1
92,6.0,6.5,6.2,6.0,6.1,6.3,0
93,8.2,8.5,8.0,8.7,8.4,8.6,1
94,5.8,6.0,5.9,6.1,6.0,5.7,0
95,7.0,7.2,7.1,7.4,7.3,7.0,1
96,6.2,6.4,6.3,6.5,6.2,6.1,0
97,8.8,9.0,8.6,9.1,8.9,9.0,1
98,5.5,5.8,5.6,5.9,5.7,5.6,0
99,7.9,8.1,7.8,8.3,8.0,8.2,1
100,6.1,6.3,6.0,6.4,6.2,6.1,0
101,7.5,8.0,7.0,8.2,7.8,8.0,1
102,6.0,6.5,6.2,6.0,6.1,6.3,0
103,8.2,8.5,8.0,8.7,8.4,8.6,1
104,5.8,6.0,5.9,6.1,6.0,5.7,0
105,7.0,7.2,7.1,7.4,7.3,7.0,1
106,6.2,6.4,6.3,6.5,6.2,6.1,0
107,8.8,9.0,8.6,9.1,8.9,9.0,1
108,5.5,5.8,5.6,5.9,5.7,5.6,0
109,7.9,8.1,7.8,8.3,8.0,8.2,1
110,6.1,6.3,6.0,6.4,6.2,6.1,0
111,7.5,8.0,7.0,8.2,7.8,8.0,1
112,6.0,6.5,6.2,6.0,6.1,6.3,0
113,8.2,8.5,8.0,8.7,8.4,8.6,1
114,5.8,6.0,5.9,6.1,6.0,5.7,0
115,7.0,7.2,7.1,7.4,7.3,7.0,1
116,6.2,6.4,6.3,6.5,6.2,6.1,0
117,8.8,9.0,8.6,9.1,8.9,9.0,1
118,5.5,5.8,5.6,5.9,5.7,5.6,0
119,7.9,8.1,7.8,8.3,8.0,8.2,1
120,6.1,6.3,6.0,6.4,6.2,6.1,0
121,7.5,8.0,7.0,8.2,7.8,8.0,1
122,6.0,6.5,6.2,6.0,6.1,6.3,0
123,8.2,8.5,8.0,8.7,8.4,8.6,1
124,5.8,6.0,5.9,6.1,6.0,5.7,0
125,7.0,7.2,7.1,7.4,7.3,7.0,1
126,6.2,6.4,6.3,6.5,6.2,6.1,0
127,8.8,9.0,8.6,9.1,8.9,9.0,1
128,5.5,5.8,5.6,5.9,5.7,5.6,0
129,7.9,8.1,7.8,8.3,8.0,8.2,1
130,6.1,6.3,6.0,6.4,6.2,6.1,0
131,7.5,8.0,7.0,8.2,7.8,8.0,1
132,6.0,6.5,6.2,6.0,6.1,6.3,0
133,8.2,8.5,8.0,8.7,8.4,8.6,1
134,5.8,6.0,5.9,6.1,6.0,5.7,0
135,7.0,7.2,7.1,7.4,7.3,7.0,1
136,6.2,6.4,6.3,6.5,6.2,6.1,0
137,8.8,9.0,8.6,9.1,8.9,9.0,1
138,5.5,5.8,5.6,5.9,5.7,5.6,0
139,7.9,8.1,7.8,8.3,8.0,8.2,1
140,6.1,6.3,6.0,6.4,6.2,6.1,0
141,7.5,8.0,7.0,8.2,7.8,8.0,1
142,6.0,6.5,6.2,6.0,6.1,6.3,0
143,8.2,8.5,8.0,8.7,8.4,8.6,1
144,5.8,6.0,5.9,6.1,6.0,5.7,0
145,7.0,7.2,7.1,7.4,7.3,7.0,1
146,6.2,6.4,6.3,6.5,6.2,6.1,0
147,8.8,9.0,8.6,9.1,8.9,9.0,1
148,5.5,5.8,5.6,5.9,5.7,5.6,0
149,7.9,8.1,7.8,8.3,8.0,8.2,1
150,6.1,6.3,6.0,6.4,6.2,6.1,0
151,7.5,8.0,7.0,8.2,7.8,8.0,1
152,6.0,6.5,6.2,6.0,6.1,6.3,0
153,8.2,8.5,8.0,8.7,8.4,8.6,1
154,5.8,6.0,5.9,6.1,6.0,5.7,0
155,7.0,7.2,7.1,7.4,7.3,7.0,1
156,6.2,6.4,6.3,6.5,6.2,6.1,0
157,8.8,9.0,8.6,9.1,8.9,9.0,1
158,5.5,5.8,5.6,5.9,5.7,5.6,0
159,7.9,8.1,7.8,8.3,8.0,8.2,1
160,6.1,6.3,6.0,6.4,6.2,6.1,0
161,7.5,8.0,7.0,8.2,7.8,8.0,1
162,6.0,6.5,6.2,6.0,6.1,6.3,0
163,8.2,8.5,8.0,8.7,8.4,8.6,1
